Community_ID,Total_Words,Top_15_Core_Words,All_Words,Conductance,Num_Words,C_v_Score
18,19,صدا | مکان | نامه | دین | مصیبت | برم | مسجد | سیما | نمیتوان | مایه | اعظم | درب | نادان | حکایت | اتحاد,"صدا, مکان, نامه, دین, مصیبت, برم, مسجد, سیما, نمیتوان, مایه, اعظم, درب, نادان, حکایت, اتحاد, بنیاد, شرم, نیشابور, اذان",6.5526,19.0,0.7172
6,142,شهر | الوده | هوا | استان | تهران | وضعیت | بحران | شرایط | رئیس | کاهش | اداره | مرکز | شهرستان | نقطه | تعطیل,"شهر, الوده, هوا, استان, تهران, وضعیت, بحران, شرایط, رئیس, کاهش, اداره, مرکز, شهرستان, نقطه, تعطیل, اشاره, ورود, ریزگرد, هشدار, دانشگاه, مدیرکل, معاون, تصمیم, خطرناک, بینی, گروه, شهروند, احتمال, فعالیت, استاندار, پدیده, جو, شنبه, کیفیت, دستگاه, شورا, اغاز, وقوع, مدرسه, دارا, محدوده, سلامت, بهداشت, هواشناسی, بانک, برگزار, مشاهده, مقام, درمان, عدد, البرز, عصر, جلسه, منشا, شاخص, چهارشنبه, تداوم, سرطان, پایتخت, دوشنبه, مشهد, فروردین, وزش, تشدید, ترافیک, میانگین, بیمارستان, مهر, تاکید, بیمار, اردیبهشت, مخاطره, خراسان, الاینده, کلان, کرمانشاه, غلظت, رتبه, کردستان, کرج, نفوذ, مجاز, سامانه, پزشکی, ظهر, دومین, کمیسیون, ایسنا, خرداد, اضطرار, ناسالم, ایلام, کارگروه, مراجعه, عمرانی, همدان, هماهنگی, پژوهش, کمیته, درمانی, اموزشی, پنجشنبه, محور, توده, یکشنبه, حساس, پایش, دماوند, توصیه, مرداد, کلاس, تردد, دبیر, خیزش, کلانشهر, گردوخاک, سخنگو, ایستگاه, بوشهر, تنفسی, صدور, مقطع, مازوت, هرمزگان, بهداشتی, زنجان, محدودیت, باشگاه, قزوین, اتوبوس, اراک, عباس, ضروری, کشاند, امتحان, علامت, همشهری, راننده, ورزش, مجری, مترو, صوتی",8.7778,142.0,0.4675
15,19,علم | دکتر | ازاد | تلاش | استاد | مطالعه | خودرو | عضو | نمونه | فرار | پایه | تصادف | مهدی | مقاله | درس,"علم, دکتر, ازاد, تلاش, استاد, مطالعه, خودرو, عضو, نمونه, فرار, پایه, تصادف, مهدی, مقاله, درس, گرامی, هیات, مواجهه, هیئت",6.8655,19.0,0.451
8,199,اب | زاینده | کارون | اصفهان | خوزستان | رودخانه | سد | صنعت | انتقال | اعتراض | کشاورز | تامین | حوزه | یزد | خشکی,"اب, زاینده, کارون, اصفهان, خوزستان, رودخانه, سد, صنعت, انتقال, اعتراض, کشاورز, تامین, حوزه, یزد, خشکی, پل, مسیر, کویر, حجم, حوضه, مال, چهارمحال, فولاد, برنج, تجمع, سرچشمه, بستر, کارخانه, شرب, منتقل, بختیاری, گاوخونی, رشت, تونل, خط, حقابه, جمعه, کف, کوهرنگ, ابان, ابریز, دز, کرخه, کرمان, چشمه, مطالبه, اهن, مافیا, لوله, قم, بند, بالادست, مکعب, معترض, ظرفیت, ابه, شعار, لرستان, کانال, ذوب, فصلی, تصفیه, مترمکعب, اذر, پراب, فریاد, پمپاژ, تخصیص, مساحت, بن, بهشت, ورودی, اشامیدنی, خوزستانی, شهرکرد, قدیم, پساب, مشخصه, دائمی, جلگه, بادام, کور, شهرک, درود, هلو, دعوا, گتوند, بروجن, نمیرسد, مبارکه, تشنه, تاسیس, سخن, خروجی, تپه, روان, خواستار, دبی, سرشاخه, ابرسانی, ابها, کاشان, مصرف, لغو, ثانیه, مارون, خواجو, سامان, رهاسازی, راضی, هور, پمپ, فراخوان, اصفهانه, نمیرود, لنجان, نیشکر, شوری, فدا, گلخانه, گر, اصرار, امیز, انتقالی, الود, داران, اس, فریب, افتتاح, تانکر, بارگزاری, قدمت, بارگذاری, موقت, نمید, خشکه, میگذرد, بگن, لیتر, مقصد, بزنن, بعدم, خواهان, ابگیری, سمیرم, لجن, جراحی, سواری, تحصن, کاشی, قیام, عزیزم, طغیان, ادرس, سرقت, بخیر, روده, اشکال, سرازیر, میسازند, تشریف, سیراب, تکمیل, تشنگی, نود, تفرقه, بغل, شاخه, سراسری, کارانه, میدوند, پولش, میکردید, بایست, تعصب, خان, ماهم, میمیرد, خروشان, فریدونشهر, میخواستند, ابار, میشوید, موتور, میخواند, حاج, میرسید, حرفت, دایی, نمیکرد, هنوزم, اروند, میفهم, زیباست, هاشمی, کنسرت, خرما, معین, شط",10.2243,199.0,0.4359
22,22,ایران | امار | مرکزی | مرز | نقشه | فلات | معروف | تیم | پیام | نماد | ایرانه | میبینیم | ویران | دامن | افتخار,"ایران, امار, مرکزی, مرز, نقشه, فلات, معروف, تیم, پیام, نماد, ایرانه, میبینیم, ویران, دامن, افتخار, براورد, تلویزیون, عربستان, میهن, فوتبال, پرچم, استقلال",17.6468,22.0,0.4296
23,63,دولت | میانکاله | طرح | پتروشیمی | مازندران | نماینده | وزیر | صادر | مجلس | دستور | احداث | بهانه | مجوز | جناب | نژاد,"دولت, میانکاله, طرح, پتروشیمی, مازندران, نماینده, وزیر, صادر, مجلس, دستور, احداث, بهانه, مجوز, جناب, نژاد, ماجرا, سفر, پیگیری, توجیه, ممنوع, اولویت, متوقف, بهشهر, موفق, درخواست, مصوبه, پالایشگاه, عملیات, مجتمع, نزدیکی, تصویب, مخالفت, توقف, رای, کارشناسی, امضا, انتقاد, اعتبار, تهرانی, دادستان, قوه, ساری, ممنوعیت, هدیه, موافق, مسول, دادگستری, مصاحبه, گذار, بازدید, صیانت, اشوراده, لیست, همراهی, شبه, عامه, جزئیات, کارزار, بانکی, پیگیر, قالیباف, پرده, بازیگر",7.6539,63.0,0.4091
20,78,منطقه | نابود | جنگل | تالاب | پوشش | اتش | گیاهی | درخت | کوه | مهاجر | تاثیر | قطع | سوز | انزلی | سوخت,"منطقه, نابود, جنگل, تالاب, پوشش, اتش, گیاهی, درخت, کوه, مهاجر, تاثیر, قطع, سوز, انزلی, سوخت, زاگرس, کاشت, ساکن, بیابان, گیلان, ماهی, بومی, اهمیت, گیاه, ارتفاع, سکوت, بلوط, گلستان, چوب, مهار, افت, عمدی, خاموش, فرسایش, محترم, هواپیما, اینترنت, بندر, منفی, حریق, موثر, محروم, متعدد, پاش, اتشسوزی, جذب, سراغ, نیزار, تبعات, شهریور, هیرکانی, بیابانی, نابودشده, مرور, نهال, ضربه, طراحی, مثبت, کمر, فنا, زدایی, هایش, قلعه, تفریح, میگردد, کهگیلویه, ازاینکه, بیمه, گردو, اکسیژن, ازبین, همت, بستگی, کمه, ماهیها, تور, عسل, لیوان",9.4369,78.0,0.3838
5,70,زمین | فرو | سطح | فاجعه | خالی | تاریخی | دشت | رویه | زیرزمین | نقش | تهدید | تحقیق | سفره | شیر | رخ,"زمین, فرو, سطح, فاجعه, خالی, تاریخی, دشت, رویه, زیرزمین, نقش, تهدید, تحقیق, سفره, شیر, رخ, اثار, میدان, ساختمان, تخلیه, بنا, تغذیه, معرض, کره, غیرقابل, باستان, مسکن, شیراز, قدیمی, نوبت, نرخ, ازحد, مسکونی, ابخوان, سم, وسیع, سقوط, قنات, اسب, شکاف, پیداکرده, سانتی, سن, بمب, بافت, تخت, ریزش, شهرسازی, سکونت, دراز, جمشید, سازه, فروچاله, رخداد, فرودگاه, اوار, رونق, سکنه, کامیون, خشم, نیوز, نسیم, کج, سرا, بیخ, یوم, کلاه, فکرش, سقف, خاری, سگن",9.3799,70.0,0.3783
0,172,گرد | غبار | خانه | خاک | اهواز | پا | صبح | ابر | جاده | خون | همراه | طوفان | رد | گرم | انتظار,"گرد, غبار, خانه, خاک, اهواز, پا, صبح, ابر, جاده, خون, همراه, طوفان, رد, گرم, انتظار, بلند, اسمان, ساحل, عجیب, نفس, پاک, بو, حس, حرکت, گردوغبار, عشق, فاصله, موج, قلب, جزیره, غم, رنگ, ابادان, شبیه, شن, خاطره, ذهن, قرمز, کانون, عبور, قدم, سفید, غرق, سرخ, کثیف, گریه, دقیقه, مو, سرد, سوار, پوست, خفه, نور, لذت, اشک, تمیز, صحنه, خرمشهر, پیاده, افتاب, روزگار, دود, تنگ, خاکی, خورشید, هرمز, شادگان, اهنگ, عالم, تلخ, شعر, داغ, نخل, ریز, روح, عاشق, اتاق, قایق, سایه, زرد, شیشه, گوشه, ستاره, برگ, تنهایی, شوشتر, خنده, یار, ساحلی, شادی, غروب, لایه, سلامتی, اشنا, ماسک, رطوبت, برج, گم, انگیز, دزفول, سینه, غریب, ایذه, نفرت, زخم, تماشا, غصه, شبها, دوربین, قابلیت, متروپل, تعجب, رستوران, سرت, فوت, قصه, ریه, ماهشهر, ماسه, قاطی, نشستن, میایم, چراغ, پنجره, سیگار, داغون, نمیگیرد, تنفس, اعتماد, تاب, خنک, دستی, ترکیب, اه, سرکار, کافه, گلو, دلم, شاعر, حالم, چرخ, کلید, دوش, برسر, غالب, تاریک, صحرا, میشدیم, بغض, طعم, حمام, خیس, کربلا, تار, ترانه, هات, مهمان, شرجی, رنگی, میرفتم, سینما, خوابد, حساسیت, جارو, کولر, لعنتی, تکان, گوشی, سرود, خوشگل, بشو, سرم",7.4055,172.0,0.375
12,102,خشک | دریاچه | ارومیه | احیا | دریا | فارس | چاه | سدسازی | نجات | اذربایجان | ترک | نمک | خلیج | تبریز | بودجه,"خشک, دریاچه, ارومیه, احیا, دریا, فارس, چاه, سدسازی, نجات, اذربایجان, ترک, نمک, خلیج, تبریز, بودجه, زبان, قوم, مقایسه, هورالعظیم, عمق, گردن, هامون, خشکاندن, صدها, هموطن, دهها, بخت, ستاد, خزر, عمیق, حفر, طلب, تجزیه, عرب, تقصیر, بلد, استانه, نشین, وسعت, حیف, مشابه, سیب, اختصاص, بانمک, سرنوشت, غیراصولی, تراز, تبخیر, کشتی, زار, فارسی, هشتگ, ارس, شنا, عملکرد, کلانتری, میتوانیم, میکردیم, اردبیل, لر, حلقه, مهمه, توئیت, وان, کوچ, دریایی, پانترک, نفری, پریشان, خجالت, گذر, مربع, نظری, برمیگردد, وصل, قبیله, طلبی, نی, بلوچ, شوره, تفاوت, عربی, تورک, چای, میرفتیم, خائن, نظرت, میتوانم, یقه, گول, اقیانوس, طلایی, تف, هیرمند, اردوغان, ماها, موند, استخر, گوز, والله, اها, ساقه",10.4032,102.0,0.371
